分组 GROUP,分组值 GROUP VALUE,件号 CODE,类别 KIND,名称 NAME,长度 LENGTH mm,孔数 HOLES,孔距 PITCH mm,砖类型 PRODUCT,数量 QTY,备料+15% ORDER,用在 USED ON
按型号 by type,R50,R50,RAIL,Universal rail clip 50,50,2,,L10 B2 292; L10 Grey 258; L10 Yellow 153,703,809,1 x21; 3 x132; 5 x145; 6 x147; 8 x104; 9 x154
按型号 by type,R700,R700,RAIL,Universal rail clip 700,50,2,,L10 B2 30; L10 Grey 54; L10 Yellow 74,158,184,1 x34; 2 x40; 4 x30; 7 x42; 8 x12
按型号 by type,R100,R100,RAIL,Universal rail clip 100,50,2,,L10 B2 80; L10 Grey 23; L10 Yellow 9,112,130,1 x9; 4 x80; 7 x11; 8 x12
按型号 by type,PK-3T03,PK-3T03,POCKET,Dedicated pocket clip,,2,,L10 Yellow 34,34,40,3 x34
按型号 by type,PK-8T02,PK-8T02,POCKET,Dedicated pocket clip,,2,,L10 Grey 16,16,19,8 x16
按砖类型 by product,L10 B2,R50,RAIL,Universal rail clip 50,50,2,,L10 B2,292,336,5 x145; 6 x147
按砖类型 by product,L10 B2,R700,RAIL,Universal rail clip 700,50,2,,L10 B2,30,35,4 x30
按砖类型 by product,L10 B2,R100,RAIL,Universal rail clip 100,50,2,,L10 B2,80,92,4 x80
按砖类型 by product,L10 Grey,R50,RAIL,Universal rail clip 50,50,2,,L10 Grey,258,297,8 x104; 9 x154
按砖类型 by product,L10 Grey,R700,RAIL,Universal rail clip 700,50,2,,L10 Grey,54,63,7 x42; 8 x12
按砖类型 by product,L10 Grey,R100,RAIL,Universal rail clip 100,50,2,,L10 Grey,23,27,7 x11; 8 x12
按砖类型 by product,L10 Grey,PK-8T02,POCKET,Dedicated pocket clip,,2,,L10 Grey,16,19,8 x16
按砖类型 by product,L10 Yellow,R50,RAIL,Universal rail clip 50,50,2,,L10 Yellow,153,176,1 x21; 3 x132
按砖类型 by product,L10 Yellow,R700,RAIL,Universal rail clip 700,50,2,,L10 Yellow,74,86,1 x34; 2 x40
按砖类型 by product,L10 Yellow,R100,RAIL,Universal rail clip 100,50,2,,L10 Yellow,9,11,1 x9
按砖类型 by product,L10 Yellow,PK-3T03,POCKET,Dedicated pocket clip,,2,,L10 Yellow,34,40,3 x34
按板号 by board,板 board 1,R50,RAIL,Universal rail clip 50,50,2,,L10 Yellow,21,,1
按板号 by board,板 board 1,R700,RAIL,Universal rail clip 700,50,2,,L10 Yellow,34,,1
按板号 by board,板 board 1,R100,RAIL,Universal rail clip 100,50,2,,L10 Yellow,9,,1
按板号 by board,板 board 2,R700,RAIL,Universal rail clip 700,50,2,,L10 Yellow,40,,2
按板号 by board,板 board 3,R50,RAIL,Universal rail clip 50,50,2,,L10 Yellow,132,,3
按板号 by board,板 board 3,PK-3T03,POCKET,Dedicated pocket clip,,2,,L10 Yellow,34,,3
按板号 by board,板 board 4,R700,RAIL,Universal rail clip 700,50,2,,L10 B2,30,,4
按板号 by board,板 board 4,R100,RAIL,Universal rail clip 100,50,2,,L10 B2,80,,4
按板号 by board,板 board 5,R50,RAIL,Universal rail clip 50,50,2,,L10 B2,145,,5
按板号 by board,板 board 6,R50,RAIL,Universal rail clip 50,50,2,,L10 B2,147,,6
按板号 by board,板 board 7,R700,RAIL,Universal rail clip 700,50,2,,L10 Grey,42,,7
按板号 by board,板 board 7,R100,RAIL,Universal rail clip 100,50,2,,L10 Grey,11,,7
按板号 by board,板 board 8,R50,RAIL,Universal rail clip 50,50,2,,L10 Grey,104,,8
按板号 by board,板 board 8,R700,RAIL,Universal rail clip 700,50,2,,L10 Grey,12,,8
按板号 by board,板 board 8,R100,RAIL,Universal rail clip 100,50,2,,L10 Grey,12,,8
按板号 by board,板 board 8,PK-8T02,POCKET,Dedicated pocket clip,,2,,L10 Grey,16,,8
按板号 by board,板 board 9,R50,RAIL,Universal rail clip 50,50,2,,L10 Grey,154,,9
